# probes/c3/matrix.tsv — the P-C3 hostile matrix SPEC (SL-241 PHASE-05, EX-1).
#
# AUTHORED INPUT, committed. Not a results file. The harness writes
# `$SPIKE_CAPSULE_ROOT/probes/c3/results.tsv` (runtime tier) with the same
# columns and `planted`/`outcome`/`altitude` filled; that generated file is the
# only thing the driving session reads (R5, EX-14).
#
# SOURCE OF TRUTH for `expected-stage`/`expected-token` is design.md § 5.6 —
# the re-derivation against the four-stage model. It is NOT probe-specs.md's
# inherited expected-kill column, which was authored against a pipeline tail
# this design removes; five rows there name machinery the design deletes or
# never specifies (S5).
#
# ── columns (design § 5.4) ──────────────────────────────────────────────────
#
#   row             H1..H16, the § 5.6 rows. Sixteen, and only sixteen.
#   fixture         light (F1) | heavy (F4)
#   mechanism       fetch (M-A) | bundle (M-B) — the pipeline's own literal, so
#                   the harness passes it through with no translation table
#   harness         pipeline | conflict | both (§ 5.1). `both` means the row
#                   ALSO carries a conflict sub-probe leg: run once per row
#                   against F3, scored as a separate entry, and counting toward
#                   nothing — it is an incumbent-layer regression check, not
#                   capsule-model evidence (F-9, EX-6).
#   vector-class    CPT-001's classes: 1 explicit execution · 2 build-system
#                   evaluation · 3 toolchain auto-load · 3g git-level auto-load
#                   · 4 path-shaped data · 5 resource shape. `-` means this
#                   row's vector is not an interpretation-surface trigger at
#                   all (ancestry, staleness, crash) — NOT "unclassified".
#                   ASM-007 (exhaustiveness) is invalidated; the taxonomy is
#                   not. Do not add a sixth class here.
#   instantiation   what this cell plants, in this fixture. For a cell that is
#                   `n/a` up front, this carries the REASON, and the reason
#                   names a STRUCTURAL absence — never "not attempted" (R-C).
#   expected-stage  harvest | conform | verify | advance | dissolution.
#                   `dissolution` is first-class and distinct from empty (R-D):
#                   the row has no refusing stage BY CONSTRUCTION, which is the
#                   design's best result, not a gap.
#   expected-token  from the CLOSED vocabulary (§ 5.1, `token_legal` in
#                   control/pipeline.sh). Empty means no refusal is expected.
#   planted         EMPTY here. The harness fills it from `Hnn.planted?`, the
#                   per-cell positive control (F-7) — except where the cell is
#                   `n/a` up front, which is authored.
#   outcome         EMPTY here. pass | partial | fail | n/a, DERIVED by the
#                   harness from the assertions the row actually made.
#   altitude        EMPTY here, ALWAYS. model-level | client-local |
#                   unproven-beyond-rust, computed by the harness (EX-5,
#                   VA-1) — an authored value would make "generated, not
#                   hand-authored" unverifiable.
#
# `|` in an expected-* cell is an ALTERNATION, not a literal: every alternative
# must be observed by one of the row's legs, and each must itself be legal.
# It appears where § 5.6's re-derived boundary names more than one for a single
# row — H8 (two tree-mode tokens), H9 (two parts, scored as two), H13 (four
# bundle-hygiene legs).
#
# 16 rows x 2 fixtures x 2 mechanisms = 64 cells, of which 4 are `n/a` up front
# (H12 on light, H13 on fetch) => 60 live cells.
row	fixture	mechanism	harness	vector-class	instantiation	expected-stage	expected-token	planted	outcome	altitude
H5	light	fetch	pipeline	3g/4	a governance-path touch, per fixture (D-P05-10): a plain edit and a non-ASCII path, both under .doctrine/rfc/025/evidence/ - the only design-target .doctrine/ prefix common to both fixtures - plus a rename OUT of .doctrine/ on LIGHT ONLY, since heavy's sole design-target .doctrine/ prefix is empty at B and leg 3 reads a two-dot tree diff (F-P05-21). The belt-hardening guards (b) and (c) are ISOLATED T6 probes, not this cell: leg 3 returns on the first matching path, so a combined range cannot observe either (F-P05-22)	conform	forbidden-path			
H5	light	bundle	pipeline	3g/4	a governance-path touch, per fixture (D-P05-10): a plain edit and a non-ASCII path, both under .doctrine/rfc/025/evidence/ - the only design-target .doctrine/ prefix common to both fixtures - plus a rename OUT of .doctrine/ on LIGHT ONLY, since heavy's sole design-target .doctrine/ prefix is empty at B and leg 3 reads a two-dot tree diff (F-P05-21). The belt-hardening guards (b) and (c) are ISOLATED T6 probes, not this cell: leg 3 returns on the first matching path, so a combined range cannot observe either (F-P05-22)	conform	forbidden-path			
H5	heavy	fetch	pipeline	3g/4	a governance-path touch, per fixture (D-P05-10): a plain edit and a non-ASCII path, both under .doctrine/rfc/025/evidence/ - the only design-target .doctrine/ prefix common to both fixtures - plus a rename OUT of .doctrine/ on LIGHT ONLY, since heavy's sole design-target .doctrine/ prefix is empty at B and leg 3 reads a two-dot tree diff (F-P05-21). The belt-hardening guards (b) and (c) are ISOLATED T6 probes, not this cell: leg 3 returns on the first matching path, so a combined range cannot observe either (F-P05-22)	conform	forbidden-path			
H5	heavy	bundle	pipeline	3g/4	a governance-path touch, per fixture (D-P05-10): a plain edit and a non-ASCII path, both under .doctrine/rfc/025/evidence/ - the only design-target .doctrine/ prefix common to both fixtures - plus a rename OUT of .doctrine/ on LIGHT ONLY, since heavy's sole design-target .doctrine/ prefix is empty at B and leg 3 reads a two-dot tree diff (F-P05-21). The belt-hardening guards (b) and (c) are ISOLATED T6 probes, not this cell: leg 3 returns on the first matching path, so a combined range cannot observe either (F-P05-22)	conform	forbidden-path			
H6	light	fetch	pipeline	3g	capsule sets core.hooksPath and writes an executable hook in its own clone; structural observable: config and hooks are repo-local, never objects — neither fetch nor bundle transfers them	dissolution				
H6	light	bundle	pipeline	3g	capsule sets core.hooksPath and writes an executable hook in its own clone; structural observable: config and hooks are repo-local, never objects — neither fetch nor bundle transfers them	dissolution				
H6	heavy	fetch	pipeline	3g	capsule sets core.hooksPath and writes an executable hook in its own clone; structural observable: config and hooks are repo-local, never objects — neither fetch nor bundle transfers them	dissolution				
H6	heavy	bundle	pipeline	3g	capsule sets core.hooksPath and writes an executable hook in its own clone; structural observable: config and hooks are repo-local, never objects — neither fetch nor bundle transfers them	dissolution				
H7	light	fetch	pipeline	5	a blob over the sandbox disk cap, plus a pathological deep tree; the quarantine bounds the blast radius and I1's object-count clause on canonical is the observable (F-3)	harvest	resource-cap			
H7	light	bundle	pipeline	5	a blob over the sandbox disk cap, plus a pathological deep tree; the quarantine bounds the blast radius and I1's object-count clause on canonical is the observable (F-3)	harvest	resource-cap			
H7	heavy	fetch	pipeline	5	a blob over the sandbox disk cap, plus a pathological deep tree; the quarantine bounds the blast radius and I1's object-count clause on canonical is the observable (F-3)	harvest	resource-cap			
H7	heavy	bundle	pipeline	5	a blob over the sandbox disk cap, plus a pathological deep tree; the quarantine bounds the blast radius and I1's object-count clause on canonical is the observable (F-3)	harvest	resource-cap			
H8	light	fetch	pipeline	4	a 160000 gitlink at a DECLARED path plus a .gitmodules — the mode-aware leg (F-2); without it every other leg passes this. Guard (a)	conform	gitlink|gitmodules			
H8	light	bundle	pipeline	4	a 160000 gitlink at a DECLARED path plus a .gitmodules — the mode-aware leg (F-2); without it every other leg passes this. Guard (a)	conform	gitlink|gitmodules			
H8	heavy	fetch	pipeline	4	a 160000 gitlink at a DECLARED path plus a .gitmodules — the mode-aware leg (F-2); without it every other leg passes this. Guard (a)	conform	gitlink|gitmodules			
H8	heavy	bundle	pipeline	4	a 160000 gitlink at a DECLARED path plus a .gitmodules — the mode-aware leg (F-2); without it every other leg passes this. Guard (a)	conform	gitlink|gitmodules			
H9	light	fetch	pipeline	3g/4	a symlink pointing outside the tree, and a .gitattributes naming a filter driver. Scored as TWO: inert at ingest (no tree is materialised trusted-side, I4) and containment at verify	dissolution|verify				
H9	light	bundle	pipeline	3g/4	a symlink pointing outside the tree, and a .gitattributes naming a filter driver. Scored as TWO: inert at ingest (no tree is materialised trusted-side, I4) and containment at verify	dissolution|verify				
H9	heavy	fetch	pipeline	3g/4	a symlink pointing outside the tree, and a .gitattributes naming a filter driver. Scored as TWO: inert at ingest (no tree is materialised trusted-side, I4) and containment at verify	dissolution|verify				
H9	heavy	bundle	pipeline	3g/4	a symlink pointing outside the tree, and a .gitattributes naming a filter driver. Scored as TWO: inert at ingest (no tree is materialised trusted-side, I4) and containment at verify	dissolution|verify				
H10	light	fetch	both	-	two results from the same contracted base B; the second meets stage 4's CAS precondition after the first landed — nothing transferred, so the STRICT assert_outcome clause applies (F-14)	advance	stale-base			
H10	light	bundle	both	-	two results from the same contracted base B; the second meets stage 4's CAS precondition after the first landed — nothing transferred, so the STRICT assert_outcome clause applies (F-14)	advance	stale-base			
H10	heavy	fetch	both	-	two results from the same contracted base B; the second meets stage 4's CAS precondition after the first landed — nothing transferred, so the STRICT assert_outcome clause applies (F-14)	advance	stale-base			
H10	heavy	bundle	both	-	two results from the same contracted base B; the second meets stage 4's CAS precondition after the first landed — nothing transferred, so the STRICT assert_outcome clause applies (F-14)	advance	stale-base			
H11	light	fetch	pipeline	1	a hostile TEST FILE at a declared path, executed by the fixture's own `node --test src/*.test.ts`; observable is sentinel-absent on the HOST path (inside, /tmp is a tmpfs - F-P04-12), never absence of error output. The network half is MEASURED and NOT SCORED: the verify capsule shares the network namespace by construction (F-P05-32, D-P05-14)	verify				
H11	light	bundle	pipeline	1	a hostile TEST FILE at a declared path, executed by the fixture's own `node --test src/*.test.ts`; observable is sentinel-absent on the HOST path (inside, /tmp is a tmpfs - F-P04-12), never absence of error output. The network half is MEASURED and NOT SCORED: the verify capsule shares the network namespace by construction (F-P05-32, D-P05-14)	verify				
H11	heavy	fetch	pipeline	2	a hostile build.rs at the repo ROOT - the class-2 trigger `cargo test` really runs - which SL-241 does not declare; refused at conform BEFORE the sandbox is needed. The trigger is live and the selector gate is what stops it (F-P05-33, D-P05-15)	conform	undeclared-path			
H11	heavy	bundle	pipeline	2	a hostile build.rs at the repo ROOT - the class-2 trigger `cargo test` really runs - which SL-241 does not declare; refused at conform BEFORE the sandbox is needed. The trigger is live and the selector gate is what stops it (F-P05-33, D-P05-15)	conform	undeclared-path			
H12	light	fetch	pipeline	2/3	n/a — the light fixture has no .envrc and no flake.nix, so there is nothing to plant (F-7). A STRUCTURAL absence, and it caps H12 at unproven-beyond-rust (A-3)	dissolution		n/a	n/a	
H12	light	bundle	pipeline	2/3	n/a — the light fixture has no .envrc and no flake.nix, so there is nothing to plant (F-7). A STRUCTURAL absence, and it caps H12 at unproven-beyond-rust (A-3)	dissolution		n/a	n/a	
H12	heavy	fetch	pipeline	2/3	modify .envrc and flake.nix against B; audit-dq4 proves no trusted-side eval step exists — an audit row, not a pipeline row; planted under the slice design-target directory (D-P05-11) — the ROOT pair is unreachable: flake.nix is undeclared under SL-241 selectors and /.envrc is gitignored (F-P05-26)	dissolution				
H12	heavy	bundle	pipeline	2/3	modify .envrc and flake.nix against B; audit-dq4 proves no trusted-side eval step exists — an audit row, not a pipeline row; planted under the slice design-target directory (D-P05-11) — the ROOT pair is unreachable: flake.nix is undeclared under SL-241 selectors and /.envrc is gitignored (F-P05-26)	dissolution				
H13	light	fetch	pipeline	4/5	n/a — M-A reads NO capsule-authored artifact at all, so the row has no subject. A structural asymmetry, and itself a QUE-200 verdict input (F-6)	harvest	bundle-unsafe-path|bundle-absent|bundle-invalid|resource-cap	n/a	n/a	
H13	light	bundle	pipeline	4/5	four bundle-hygiene legs: a symlink at the control-plane-chosen bundle path, an absent bundle at ring time, a truncated/invalid bundle, and one over the size cap. selftest_bundle already exercises all four — reuse it	harvest	bundle-unsafe-path|bundle-absent|bundle-invalid|resource-cap			
H13	heavy	fetch	pipeline	4/5	n/a — M-A reads NO capsule-authored artifact at all, so the row has no subject. A structural asymmetry, and itself a QUE-200 verdict input (F-6)	harvest	bundle-unsafe-path|bundle-absent|bundle-invalid|resource-cap	n/a	n/a	
H13	heavy	bundle	pipeline	4/5	four bundle-hygiene legs: a symlink at the control-plane-chosen bundle path, an absent bundle at ring time, a truncated/invalid bundle, and one over the size cap. selftest_bundle already exercises all four — reuse it	harvest	bundle-unsafe-path|bundle-absent|bundle-invalid|resource-cap			
H14	light	fetch	pipeline	-	three legs: a duplicate ring (a no-op by content-addressing, I2), a lost ring (polled to the wall-clock deadline), and a spoofed ring naming another capsule (content is never read, so it carries no authority)	harvest				
H14	light	bundle	pipeline	-	three legs: a duplicate ring (a no-op by content-addressing, I2), a lost ring (polled to the wall-clock deadline), and a spoofed ring naming another capsule (content is never read, so it carries no authority)	harvest				
H14	heavy	fetch	pipeline	-	three legs: a duplicate ring (a no-op by content-addressing, I2), a lost ring (polled to the wall-clock deadline), and a spoofed ring naming another capsule (content is never read, so it carries no authority)	harvest				
H14	heavy	bundle	pipeline	-	three legs: a duplicate ring (a no-op by content-addressing, I2), a lost ring (polled to the wall-clock deadline), and a spoofed ring naming another capsule (content is never read, so it carries no authority)	harvest				
H15	light	fetch	pipeline	-	killed at EACH stage in turn (EX-9); observable: canonical byte-identical before stage 4 and the re-run resumes from the same pinned OID — stages 1-3 are idempotent and stage 4 is a single atomic CAS	dissolution				
H15	light	bundle	pipeline	-	killed at EACH stage in turn (EX-9); observable: canonical byte-identical before stage 4 and the re-run resumes from the same pinned OID — stages 1-3 are idempotent and stage 4 is a single atomic CAS	dissolution				
H15	heavy	fetch	pipeline	-	killed at EACH stage in turn (EX-9); observable: canonical byte-identical before stage 4 and the re-run resumes from the same pinned OID — stages 1-3 are idempotent and stage 4 is a single atomic CAS	dissolution				
H15	heavy	bundle	pipeline	-	killed at EACH stage in turn (EX-9); observable: canonical byte-identical before stage 4 and the re-run resumes from the same pinned OID — stages 1-3 are idempotent and stage 4 is a single atomic CAS	dissolution				
H16	light	fetch	both	-	advance the accepted ref AFTER the contract pinned B and BEFORE harvest, so the row lands on stage 4's PRECONDITION — strict clause (F-14). Getting stage 4's ordering backwards reds exactly here	advance	stale-base			
H16	light	bundle	both	-	advance the accepted ref AFTER the contract pinned B and BEFORE harvest, so the row lands on stage 4's PRECONDITION — strict clause (F-14). Getting stage 4's ordering backwards reds exactly here	advance	stale-base			
H16	heavy	fetch	both	-	advance the accepted ref AFTER the contract pinned B and BEFORE harvest, so the row lands on stage 4's PRECONDITION — strict clause (F-14). Getting stage 4's ordering backwards reds exactly here	advance	stale-base			
H16	heavy	bundle	both	-	advance the accepted ref AFTER the contract pinned B and BEFORE harvest, so the row lands on stage 4's PRECONDITION — strict clause (F-14). Getting stage 4's ordering backwards reds exactly here	advance	stale-base			
